,product_name,product_brand,expire_date,product_code
1536,curry chicken sandwich,vesto marketing sdn bhd (formerly known as : vestrade marketing,30.11.2019,
1537,curry chicken toast,pak hailam kopitiam sdn bhd,,
1538,curry corn,sauce empire manufacturing sdn bhd,31.10.2019,
1539,curry fish head paste,sauce empire manufacturing sdn bhd,28.02.2020,
1540,curry gravy,pak hailam kopitiam sdn bhd,,
1541,curry ikan paste,sauce empire manufacturing sdn bhd,28.02.2020,
1542,curry laksa,pak hailam kopitiam sdn bhd,,
1543,curry laksa noodles,bewemi enterprise,31.10.2019,
1545,curry laksa paste,sauce empire manufacturing sdn bhd,31.10.2019,
1546,curry laksa paste,bygrace trading sdn bhd,15.02.2021,
1544,curry laksa paste,pak hailam kopitiam sdn bhd,,
7024,curry mayo,longson food products sdn bhd,,
1547,curry money bag,new wing cheong foods industries sdn bhd,30.09.2019,
1548,curry paste,pak hailam kopitiam sdn bhd,,
5319,curry paste,convenience food industries (private) limited,,
5331,curry paste,convenience food industries (private) limited,,
1549,curry paste,sauce empire manufacturing sdn bhd,31.10.2019,
5546,curry phulki,freshmate co.,,
5278,curry powder,convenience food industries (private) limited,,
5279,curry powder,convenience food industries (private) limited,,
6043,curry powder,shan foods (pvt) ltd,,
5346,curry powder (mild),convenience food industries (private) limited,,
5361,curry powder (mild),convenience food industries (private) limited,,
5347,curry powder (mild),convenience food industries (private) limited,,
5345,curry powder(regular),convenience food industries (private) limited,,
5360,curry powder(regular),convenience food industries (private) limited,,
5344,curry powder(regular),convenience food industries (private) limited,,
1550,curry puff,supreme discovery(m) sdn bhd,15.01.2020,
1551,curry puff chicken filling,ainons cakes & pastries,15.02.2020,
1552,curry puff kentang,lulu nyonya goodies sdn bhd,30.11.2019,
1553,curry puff pastry,ainons cakes & pastries,15.02.2020,
1554,curry sambal,sauce empire manufacturing sdn bhd,28.02.2020,
1555,curry sambal cooked,pak hailam kopitiam sdn bhd,,
1556,curry sambal cooked semi,pak hailam kopitiam sdn bhd,,
1557,curry sauce,world prominence sdn. bhd.,,
1558,curry seasoning,world prominence sdn. bhd.,,
1559,curry supreme pasta,sauce empire manufacturing sdn bhd,15.02.2020,
1560,curry tuna filling paste,pak hailam kopitiam sdn bhd,,
1561,curry tuna filling with onion,pak hailam kopitiam sdn bhd,,
1562,custard,ainons cakes & pastries,15.02.2020,
5233,custard banana,convenience food industries (private) limited,,
1563,custard bun,hazel cake house,31.05.2019,
1564,custard danish,hazel cake house,31.05.2019,
1565,custard filling,pak hailam kopitiam sdn bhd,,
1566,custard filling,new wing cheong foods industries sdn bhd,30.09.2019,
5232,custard mango,convenience food industries (private) limited,,
1567,custard pau,tsl bestmas manufacturing sdn bhd,,
1568,custard pau,tsl bestmas manufacturing sdn bhd,31.03.2021,
1569,custard pau filling,pak hailam kopitiam sdn bhd,,
5235,custard pineapple,convenience food industries (private) limited,,
5234,custard pistachio,convenience food industries (private) limited,,
1570,custard powder,sri nona food industries sdn. bhd.,,
1571,custard powder,kientat trading sdn. bhd.,15.07.2019,
1573,custard powder,sri nona food industries sdn. bhd.,15.04.2021,
1572,custard powder,eezdee intrade sdn bhd,31.12.2019,
1574,custard powder (tepung kastard),360horizonz sdn. bhd.,31.05.2019,
1575,custard powder white,kientat trading sdn. bhd.,15.07.2019,
5231,custard strawberry,convenience food industries (private) limited,,
5230,custard vanilla,convenience food industries (private) limited,,
1576,cut cucumber carrot mix,vege ready sdn bhd,15.08.2019,
1577,cutie face,angel candies sdn bhd,31.10.2019,
1578,cuttle fish seasoning powder,kientat trading sdn. bhd.,15.07.2019,
1579,cuttlefish ball / bebola sotong,seaworld fresh mart sdn bhd,15.06.2019,
1580,cuttlefish brown frozen,pak hailam kopitiam sdn bhd,,
1581,cuttlefish kang kung sauce frozen,pak hailam kopitiam sdn bhd,,
1582,cuttlefish kankung sauce,pak hailam kopitiam sdn bhd,,
34,"d085.00-super nova vanilla,  d460.02-chocolate sachet,  n305.02-nova yoghurt,  
d026.00-jollibee dubai vanilla,  d726.04-choc frosty,  d727.01-vanilla frosty,  d455.02-soft serve",frosty boy australia pty ltd,14.09.2020,00521709FBA03E
1583,d2 ribeye/cube rollaustralia grass fed,global livestock services sdn. bhd.,15.10.2019,
5547,daal fry,freshmate co.,,
5548,daal maash,freshmate co.,,
6044,daal masala,shan foods (pvt) ltd,,
5549,daal masoor,freshmate co.,,
1584,dadih (blueberry),ainons cakes & pastries,15.02.2020,
1585,dadih (chocolate),ainons cakes & pastries,15.02.2020,
1586,dadih (grape),ainons cakes & pastries,15.02.2020,
1587,dadih (honeydew),ainons cakes & pastries,15.02.2020,
1588,dadih (mango),ainons cakes & pastries,15.02.2020,
1589,dadih (strawberry),ainons cakes & pastries,15.02.2020,
1590,dadih (vanilla),ainons cakes & pastries,15.02.2020,
1591,dadih berperisa,ainons cakes & pastries,15.02.2020,
1592,daging lembu,ru cafe sdn bhd,31.12.2019,
1593,daging masak hitam with green peas and onions,supreme discovery(m) sdn bhd,15.01.2020,
1594,daging masak kicap (package food),ainons cakes & pastries,15.02.2020,
1595,daging salai,ayam kens kingdom foodstuff enterprise (m) sdn bhd,15.12.2019,
1596,daging salai ayam,ayam kens kingdom foodstuff enterprise (m) sdn bhd,15.12.2019,
6045,dahi bara chaat,shan foods (pvt) ltd,,
6046,dahi bara chaat bottle,shan foods (pvt) ltd,,
5550,dahi bara masala,freshmate co.,,
6047,dahi bara mix,shan foods (pvt) ltd,,
1597,dahlia cookies,ann-lee industries (m) sdn bhd,30.09.2019,
7350,daily moisture lotion fragrance free,lubriderm,,
200,dairy organic probiotic yogurt 0% m.f. 750g,elite,,32670 00000
1598,dalgalbi (spicy marinated chicken),mr dakgalbi sdn bhd,15.08.2020,
7349,daly moisturizer lotion,aveeno,,
1599,dancing nacho,sauce empire manufacturing sdn bhd,15.02.2020,
1600,danish of the day,yeast atelier sdn bhd,31.07.2019,
9677,dark chocolate,diana's banana buddies,,
1601,dark chocolate,bordeaux bakery & sweet (m) sdn bhd,15.10.2020,
1602,dark chocolate flavour,kientat trading sdn. bhd.,15.07.2019,
1603,dark pitted cherry filling,hazel cake house,31.05.2019,
7692,dark rye bread,country oven,,
5854,date delight,jubilant foods (pvt) ltd.,,
5194,date kheer,convenience food industries (private) limited,,
4888,dates,al-khair creative quality ware,,
1604,dates - dates with almond nibs,cherry alpha enterprise,15.10.2019,
1605,dates - dates with orange peel walnut,cherry alpha enterprise,15.10.2019,
1606,dates - golden dates walnut,cherry alpha enterprise,15.10.2019,
1607,dates plus 3 in 1 instant premix white coffee,lattela sdn bhd,15.10.2019,
1608,daun teh - jasmine tea,hock chuan bee tea merchants (m) sdn bhd,30.06.2019,
1609,daun teh - ping heong tea,hock chuan bee tea merchants (m) sdn bhd,30.06.2019,
1610,daun teh - pu erh tea,hock chuan bee tea merchants (m) sdn bhd,30.06.2019,
1611,daun teh - tikuanyin tea,hock chuan bee tea merchants (m) sdn bhd,30.06.2019,
1612,daun teh - very heong tea,hock chuan bee tea merchants (m) sdn bhd,30.06.2019,
9587,decaffeinated coffee,kirkland,,
8268,deep dark chocolate limited edition ice cream,turkey hill,,
1613,deep fried - deep radish cakes,jz oriental delight sdn. bhd.,15.11.2019,
1614,deep fried - fried radish cakes,jz oriental delight sdn. bhd.,15.11.2019,
1615,deep fried - fried wan tan,jz oriental delight sdn. bhd.,15.11.2019,
1616,deep fried - salad prawns,jz oriental delight sdn. bhd.,15.11.2019,
1617,deep fried - thai beancurd skin roll,jz oriental delight sdn. bhd.,15.11.2019,
1618,deep fried almond ball,new wing cheong foods industries sdn bhd,30.09.2019,
1619,deep fried apple prawn roll,new wing cheong foods industries sdn bhd,30.09.2019,
1620,deep fried chicken wantan,new wing cheong foods industries sdn bhd,30.09.2019,
1621,deep fried fish ball,new wing cheong foods industries sdn bhd,30.09.2019,
1622,deep fried fish cake,new wing cheong foods industries sdn bhd,30.09.2019,
1623,deep fried local po piah,new wing cheong foods industries sdn bhd,30.09.2019,
1624,deep fried prawn dumpling / deep fried har kok,new wing cheong foods industries sdn bhd,30.09.2019,
1625,deep fried prawn wantan,new wing cheong foods industries sdn bhd,30.09.2019,
1626,deep fried yam dumpling / deep fried yam kok,new wing cheong foods industries sdn bhd,30.09.2019,
1627,deep fried yam ring,new wing cheong foods industries sdn bhd,30.09.2019,
1628,deepfried crescent dumpling / deepfried wantan dumpling,tsl bestmas manufacturing sdn bhd,31.05.2020,
1629,deepfried lotus dumpling,tsl bestmas manufacturing sdn bhd,31.05.2020,
5238,delhi pulao/ biryani masala,convenience food industries (private) limited,,
5551,delhi shahi nehari,freshmate co.,,
7040,deli mayo,longson food products sdn bhd,,
9661,deli rolls,love n fresh,,
7482,deli spicy brown mustard,koops,70281000266,
9009,deli swirl rye & pumpernickel bread,pepperidge farm,,
7025,delight mayo,longson food products sdn bhd,,
9026,deluxe buns,butternut,,
7400,deluxe lightly salted mixed nuts,planters,29000016217,
7399,deluxe mixed nuts,planters,29000016200,
7398,deluxe whole cashews,planters,2.90E+11,
1630,dendeng belado,resepi arena sdn bhd,Sijil Telah Ditarik Balik,
1631,dendeng sambal hijau,resepi arena sdn bhd,Sijil Telah Ditarik Balik,
7364,dental floss all plus mint flavored,oral b,,
7379,"deodorant body bar, clear body bar, moisturizing body bar",tom's of maine,,
1632,desiccated coconut (kelapa parut kering),360horizonz sdn. bhd.,31.05.2019,
1633,dessert in a cup - banana misu,profound pastry sdn. bhd.,15.06.2019,
1634,dessert in a cup - black forest,profound pastry sdn. bhd.,15.06.2019,
1635,dessert in a cup - green tea misu,profound pastry sdn. bhd.,15.06.2019,
1636,dessert in a cup - hazelnut chocolate mousse with morello compote,profound pastry sdn. bhd.,15.06.2019,
1637,dessert in a cup - mango coconut mousse,profound pastry sdn. bhd.,15.06.2019,
1638,dessert in a cup - milk chocolate mousse with raspberry,profound pastry sdn. bhd.,15.06.2019,
1639,dessert in a cup - pistachio chocolate mousse,profound pastry sdn. bhd.,15.06.2019,
1640,dessert in a cup - strawberry misu,profound pastry sdn. bhd.,15.06.2019,
1641,dessert in a cup - strawberry panna cotta,profound pastry sdn. bhd.,15.06.2019,
1642,dessert in a cup - tiramisu,profound pastry sdn. bhd.,15.06.2019,
1643,dessert in cup - banana misu,profound pastry sdn. bhd.,15.06.2021,
1644,dessert in cup - black forest,profound pastry sdn. bhd.,15.06.2021,
1645,dessert in cup - chocolate citrus,profound pastry sdn. bhd.,30.04.2021,
1646,dessert in cup - pistachio chocolate mousse,profound pastry sdn. bhd.,15.06.2021,
1647,dessert in cup - strawberry misu,profound pastry sdn. bhd.,15.06.2021,
1648,dessert in cup - strawberry panna cotta,profound pastry sdn. bhd.,15.06.2021,
1649,dessert in cup - tiramisu,profound pastry sdn. bhd.,15.06.2021,
6048,dessert mixes,shan foods (pvt) ltd,,
1650,devil chicken curry paste,sauce empire manufacturing sdn bhd,15.02.2020,
9993,devil?s food cake mix,betty crocker,,
6410,dew type - 900,synarome manufacturing company (pvt) ltd,,
5792,dewy chewy chocolate,ismail industries limited - candyland,,
5791,dewy chewy milk,ismail industries limited - candyland,,
5790,dewy chewy orange,ismail industries limited - candyland,,
5789,dewy chewy strawberry,ismail industries limited - candyland,,
7258,dexilant capsule,takida,,
7257,dexilant capsule,takida,,
9840,dha omega 3 organic milk,horizon,,
9250,dha omega 3 organic reduced fat milk,simply balanced,,
9251,dha omega 3 organic whole milk,simply balanced,,
1652,dhall curry,world prominence sdn. bhd.,15.10.2019,
1651,dhall curry,pak hailam kopitiam sdn bhd,,
