product_name,product_brand,expire_date,product_code
"
 CHICKEN EGGS GRADE (A & AA)
","
 GOLDEN EGGS
","
 4.10.2015
",
"
 CANNED JUICE DRINK
","
 RANI
","
 18-10-15
",
"
 FISH & SEA FOOD CANNING & PRESERVING POULTRY PRODUCTS MANUFACTURINGMEAT PRODUCTS MANUFACTURING PREPARED MEAL & DISHES MANUFACTURING
",,"
 21-12-15
",
"
 FISH & SEAFOOD MANUFACTURING POULTRY PRODUCTS MANUFACTURING & MEAT PRODUCTS MANUFACTURING & PREPARED MEALS MANUFACTURING & CHEESE VEGETABLE PRODUCTS MANUFACTURING
","
 ALKABEER & TABRRUK & FALCON &TAYBAT AL EMAART
","
 8.2.2016
",
"
 CHOCOLATE, MILK POWDER
","
 KITKAT, NESTLE MINIS, MACKINTOSH QUALITY STREET, NESTLE CARNATION, NESTLE KLIM, NIDO
","
 26-10-15
",
"
 MEAT PRODUCTS MANUFACTURING & FISH PRODUCTS MANUFACTURING & POULTRY PRODUCTS MANUFACTURING & VEGETABLE PRODUCTS MANUFACTURING
","
 LULU & PANDA & CARREFFOUR &GOLF WEAST & FRESHLY FOOD & BURGER KING
","
 8.2.2016
",
"
 MEAT AND POULTRY PRODUCTS
","
 KHAZAN & AL ARABIA & SUBWAY & SWIFT
","
 8.2.2016
",
"
 CHICKEN EGGS GRADE (A & AA)
","
 SAHA
","
 17-11-15
",
"
 MEAT PRODUCTMANUFACTURING FISH AND SEA FOOD PROCESSING & FREEZING OF VEGETABLE AND FRUITS
","
 AL KABEER & AL TAYEBAT & CARREFOUR
","
 8.2.2016
",
"
 VARIOUS FRESH AND FROZEN POULTRY PRODUCTS
","
 MULTI BRANDS
","
 19-11-15
",
"
 PERFUMES
","
 SWISS ARABIAN
","
 24-02-16
",
"
 Oil and Fat products
","
 Multiple
","
 14-04-16
",
"
 Sea Food & poultry Product & frozen & breaded
","
 Multiple
","
 25-04-16
",
"
 Spices and Grains Packaging
","
 Shama
","
 28-04-16
",
"
 Poultry Slaughtering preparing and freezing
","
 Al Khazan
","
 2.5.2016
",
"
 ICE CREAM
","
 Multiple
","
 25-05-16
",
"
 BREAD, PASTRY, CONFECTIONERY MANUFACTURING
","
 KHALEEJ
","
 27-06-16
",
"
 Beef Products
","
 Podravka
","
 17-08-16
",
"
 Baby food and hazelnut spread
","
 Lino
","
 17-08-16
",
"
 Product 
","
 Dolcela, Kviki, Lino
","
 16-08-16
",
